"admin_area_1","admin_area_2","admin_area_3"
NA,"ke Kebbi State","ke Birnin Kebbi Local Government Area"
NA,"ke Kebbi State","ke Bunza Local Government Area"
NA,"ke Kebbi State","ke Dandi Local Government Area"
NA,"ke Kebbi State","ke Danko/Wasagu Local Government Area"
NA,"ke Kebbi State","ke Fakai Local Government Area"
NA,"ke Kebbi State","ke Gwandu Local Government Area"
NA,"ke Kebbi State","ke Jega Local Government Area"
NA,"ke Kebbi State","ke Kalgo Local Government Area"
NA,"ke Kebbi State","ke Koko/Besse Local Government Area"
NA,"ke Kebbi State","ke Maiyama Local Government Area"
NA,"ke Kebbi State","ke Ngaski Local Government Area"
NA,"ke Kebbi State","ke Sakaba Local Government Area"
NA,"ke Kebbi State","ke Shanga Local Government Area"
NA,"ke Kebbi State","ke Suru Local Government Area"
NA,"ke Kebbi State","ke Yauri Local Government Area"
NA,"ke Kebbi State","ke Zuru Local Government Area"
NA,"kn Kano State","kn Ajingi Local Government Area"
NA,"kn Kano State","kn Albasu Local Government Area"
NA,"kn Kano State","kn Bagwai Local Government Area"
NA,"kn Kano State","kn Bebeji Local Government Area"
NA,"kn Kano State","kn Bichi Local Government Area"
NA,"kn Kano State","kn Bunkure Local Government Area"
NA,"kn Kano State","kn Dala Local Government Area"
NA,"kn Kano State","kn Danbatta Local Government Area"
NA,"kn Kano State","kn Dawakin Kudu Local Government Area"
NA,"kn Kano State","kn Dawakin Tofa Local Government Area"
NA,"kn Kano State","kn Doguwa Local Government Area"
NA,"kn Kano State","kn Fagge Local Government Area"
NA,"kn Kano State","kn Gabasawa Local Government Area"
NA,"kn Kano State","kn Garko Local Government Area"
NA,"kn Kano State","kn Garum Mallam Local Government Area"
NA,"kn Kano State","kn Gaya Local Government Area"
NA,"kn Kano State","kn Gezawa Local Government Area"
NA,"kn Kano State","kn Gwale Local Government Area"
NA,"kn Kano State","kn Gwarzo Local Government Area"
NA,"kn Kano State","kn Kabo Local Government Area"
NA,"kn Kano State","kn Kano Municipal Local Government Area"
NA,"kn Kano State","kn Karaye Local Government Area"
NA,"kn Kano State","kn Kibiya Local Government Area"
NA,"kn Kano State","kn Kiru Local Government Area"
NA,"kn Kano State","kn Kumbotso Local Government Area"
NA,"kn Kano State","kn Kunchi Local Government Area"
NA,"kn Kano State","kn Kura Local Government Area"
NA,"kn Kano State","kn Madobi Local Government Area"
NA,"kn Kano State","kn Makoda Local Government Area"
NA,"kn Kano State","kn Minjibir Local Government Area"
NA,"kn Kano State","kn Rano Local Government Area"
NA,"kn Kano State","kn Rimin Gado Local Government Area"
NA,"kn Kano State","kn Rogo Local Government Area"
NA,"kn Kano State","kn Shanono Local Government Area"
NA,"kn Kano State","kn Sumaila Local Government Area"
NA,"kn Kano State","kn Takai Local Government Area"
NA,"kn Kano State","kn Tofa Local Government Area"
NA,"kn Kano State","kn Tsanyawa Local Government Area"
NA,"kn Kano State","kn Tudun Wada Local Government Area"
NA,"kn Kano State","kn Ungogo Local Government Area"
NA,"kn Kano State","kn Warawa Local Government Area"
NA,"kn Kano State","kn Wudil Local Government Area"
NA,"ko Kogi State","ko Igalamela-Odolu Local Government Area"
NA,"ko Kogi State","ko Ogori/Magongo Local Government Area"
NA,"ko Kogi State","ko Okehi Local Government Area"
NA,"ko Kogi State","ko Omala Local Government Area"
NA,"ko Kogi State","ko Yagba East Local Government Area"
NA,"kt Katsina State","kt Bakori Local Government Area"
NA,"kt Katsina State","kt Batagarawa Local Government Area"
NA,"kt Katsina State","kt Batsari Local Government Area"
NA,"kt Katsina State","kt Baure Local Government Area"
NA,"kt Katsina State","kt Bindawa Local Government Area"
NA,"kt Katsina State","kt Charanchi Local Government Area"
NA,"kt Katsina State","kt Dan Musa Local Government Area"
NA,"kt Katsina State","kt Dandume Local Government Area"
NA,"kt Katsina State","kt Danja Local Government Area"
NA,"kt Katsina State","kt Daura Local Government Area"
NA,"kt Katsina State","kt Dutsi Local Government Area"
NA,"kt Katsina State","kt Dutsin-Ma Local Government Area"
NA,"kt Katsina State","kt Faskari Local Government Area"
NA,"kt Katsina State","kt Funtua Local Government Area"
NA,"kt Katsina State","kt Ingawa Local Government Area"
NA,"kt Katsina State","kt Jibia Local Government Area"
NA,"kt Katsina State","kt Kafur Local Government Area"
NA,"kt Katsina State","kt Kaita Local Government Area"
NA,"kt Katsina State","kt Kankara Local Government Area"
NA,"kt Katsina State","kt Kankia Local Government Area"
NA,"kt Katsina State","kt Katsina Local Government Area"
NA,"kt Katsina State","kt Kurfi Local Government Area"
NA,"kt Katsina State","kt Kusada Local Government Area"
NA,"kt Katsina State","kt Mai'Adua Local Government Area"
NA,"kt Katsina State","kt Malumfashi Local Government Area"
NA,"kt Katsina State","kt Mani Local Government Area"
NA,"kt Katsina State","kt Mashi Local Government Area"
NA,"kt Katsina State","kt Matazu Local Government Area"
NA,"kt Katsina State","kt Musawa Local Government Area"
NA,"kt Katsina State","kt Rimi Local Government Area"
NA,"kt Katsina State","kt Sabuwa Local Government Area"
NA,"kt Katsina State","kt Safana Local Government Area"
NA,"kt Katsina State","kt Sandamu Local Government Area"
NA,"kt Katsina State","kt Zango Local Government Area"
NA,"kw Kwara State","kw Asa Local Government Area"
NA,"kw Kwara State","kw Baruten Local Government Area"
NA,"kw Kwara State","kw Edu Local Government Area"
NA,"kw Kwara State","kw Ekiti Local Government Area"
NA,"kw Kwara State","kw Ifelodun Local Government Area"
NA,"kw Kwara State","kw Ilorin East Local Government Area"
NA,"kw Kwara State","kw Ilorin South Local Government Area"
NA,"kw Kwara State","kw Ilorin West Local Government Area"
NA,"kw Kwara State","kw Irepodun Local Government Area"
NA,"kw Kwara State","kw Isin Local Government Area"
NA,"kw Kwara State","kw Kaiama Local Government Area"
NA,"kw Kwara State","kw Moro Local Government Area"
NA,"kw Kwara State","kw Offa Local Government Area"
NA,"kw Kwara State","kw Oke-Ero Local Government Area"
NA,"kw Kwara State","kw Oyun Local Government Area"
NA,"kw Kwara State","kw Pategi Local Government Area"
NA,"la Lagos State","la Agege Local Government Area"
NA,"la Lagos State","la Ajeromi/Ifelodun Local Government Area"
NA,"la Lagos State","la Alimosho Local Government Area"
NA,"la Lagos State","la Amuwo Odofin Local Government Area"
NA,"la Lagos State","la Apapa Local Government Area"
NA,"la Lagos State","la Badagry Local Government Area"
NA,"la Lagos State","la Epe Local Government Area"
NA,"la Lagos State","la Eti-Osa Local Government Area"
NA,"la Lagos State","la Ifako/Ijaye Local Government Area"
NA,"la Lagos State","la Ikeja Local Government Area"
NA,"la Lagos State","la Ikorodu Local Government Area"
NA,"la Lagos State","la Kosofe Local Government Area"
NA,"la Lagos State","la Lagos Mainland Local Government Area"
NA,"la Lagos State","la Mushin Local Government Area"
NA,"la Lagos State","la Ojo Local Government Area"
NA,"la Lagos State","la Oshodi/Isolo Local Government Area"
NA,"la Lagos State","la Shomolu Local Government Area"
NA,"la Lagos State","la Surulere Local Government Area"
NA,"na Nasarawa State","na Akwanga Local Government Area"
NA,"na Nasarawa State","na Awe Local Government Area"
NA,"na Nasarawa State","na Doma Local Government Area"
NA,"na Nasarawa State","na Karu Local Government Area"
NA,"na Nasarawa State","na Keana Local Government Area"
NA,"na Nasarawa State","na Keffi Local Government Area"
NA,"na Nasarawa State","na Kokona Local Government Area"
NA,"na Nasarawa State","na Lafia Local Government Area"
NA,"na Nasarawa State","na Nasarawa Eggon Local Government Area"
NA,"na Nasarawa State","na Nasarawa Local Government Area"
NA,"na Nasarawa State","na Obi Local Government Area"
NA,"na Nasarawa State","na Toto Local Government Area"
NA,"na Nasarawa State","na Wamba Local Government Area"
NA,"ni Niger State","ni Agaie Local Government Area"
NA,"ni Niger State","ni Agwara Local Government Area"
NA,"ni Niger State","ni Bida Local Government Area"
NA,"ni Niger State","ni Borgu Local Government Area"
NA,"ni Niger State","ni Bosso Local Government Area"
NA,"ni Niger State","ni Chanchaga Local Government Area"
NA,"ni Niger State","ni Edati Local Government Area"
NA,"ni Niger State","ni Gbako Local Government Area"
NA,"ni Niger State","ni Gurara Local Government Area"
NA,"ni Niger State","ni Katcha Local Government Area"
NA,"ni Niger State","ni Kontagora Local Government Area"
NA,"ni Niger State","ni Lapai Local Government Area"
NA,"ni Niger State","ni Lavun Local Government Area"
NA,"ni Niger State","ni Magama Local Government Area"
NA,"ni Niger State","ni Mariga Local Government Area"
NA,"ni Niger State","ni Mokwa Local Government Area"
NA,"ni Niger State","ni Muya Local Government Area"
NA,"ni Niger State","ni Paikoro Local Government Area"
NA,"ni Niger State","ni Rafi Local Government Area"
NA,"ni Niger State","ni Rijau Local Government Area"
NA,"ni Niger State","ni Shiroro Local Government Area"
