facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
caoRh7UCc2z,Niger,Tahoua,DS Malbaza,Commune Malbaza
CAvn6sVtQB5,Niger,Zinder,DS Tanout,Commune Falenco
CaXMXJc0Vr2,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
cayQX4oxYHI,Niger,Dosso,DS Dogon Doutchi,Commune Doutchi
CB3YN4bdnxT,Niger,Niamey,DS Niamey II,Commune 2ème Arrondissement
CBAawfIaPbN,Niger,Tillaberi,DS Fillingue,Commune Filingué
CbfVYKanmVO,Niger,Maradi,DS Maradi Ville,Commune Maradi 3
CbhepD4OA11,Niger,Tillaberi,DS Tera,Commune Gorouol
cBsfiA73uRW,Niger,Maradi,DS Dakoro,Commune Kornaka
CBVDoHnRbM1,Niger,Tahoua,DS Madaoua,Commune Madaoua
cC0JlWtQznf,Niger,Dosso,DS Dogon Doutchi,Commune Kieche
cC6XG3IaZL7,Niger,Dosso,DS Tibiri,Commune Kore Mairoua
CcdK5DAlHwR,Niger,Dosso,DS Loga,Commune Falwel
Ccg9SCEHoAb,Niger,Niamey,DS Niamey V,Commune 5ème Arrondissement
CcNl0OfoAxD,Niger,Zinder,DS Goure,Commune Gamou
CcPS4iMfZaM,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
CCQSuBOQWSm,Niger,Tillaberi,DS Gotheye,Commune Gotheye
CcrDaC5I4e7,Niger,Tahoua,DS Birni Konni,Commune Birni N'Konni
ccUVj3lmhho,Niger,Maradi,DS Tessaoua,Commune Ourafane
Ccx3wgO2bV1,Niger,Maradi,DS Mayahi,Commune Issawane
Cd27i3o1yxF,Niger,Tillaberi,DS Tera,Commune Méhanna
CdfRPlkxiak,Niger,Maradi,DS Dakoro,Commune Kornaka
cdg9cVmR8Xc,Niger,Zinder,DS Tanout,Commune Gangara Tanout
cdGKIvdgUIS,Niger,Diffa,DS Diffa,Commune Gueskerou
cDmKisUJzFX,Niger,Maradi,DS Madarounfa,Commune Djiratawa
CdnvulqKcoW,Niger,Maradi,DS Guidan Roumdji,HD Guidan Roumdji
cdPx77Uy8BE,Niger,Maradi,DS Dakoro,Commune Kornaka
