facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
zFHQxvTI6Py,République centrafricaine,RS 3,Préfecture Ouham,District Nangha-Boguila
ZfPih8KNuLS,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bossembele
zhbTYcVLYfW,République centrafricaine,RS 1,Préfecture Lobaye,District Boda
ZIrZnv7O8CN,République centrafricaine,RS 2,Préfecture Sangha-Mbaere,District Sangha-Mbaere
ziSo4nK7Ehn,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Alindao-Mingala
ZKCmeQAN4H4,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bozoum-Bossemptele
zKgVgKVwlrd,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 2
Zkm2Qpt5gwf,République centrafricaine,RS 3,Préfecture Ouham,District Batangafo-Kabo
zkwwBrU3AHc,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
ZnkouUrXOqT,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
ZNQNN4oOBcR,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
ZNt6fjNuJm7,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
ZNUdN1PVKbm,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
zpFjsxTFQLy,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Kembe-Satema
zPnEMtABG37,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Mobaye-Zangba
zQcWiN5Uvnm,République centrafricaine,RS 5,Préfecture Haute-Kotto,District Haute-Kotto
zqgbhpZVRiN,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
ZRRPKQVlXCt,République centrafricaine,RS 2,Préfecture MambereKadei,District Carnot-Gadzi
ZScZ0sIBFfA,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
zspMCXcZbJW,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Bouar-Baoro
ZUlUBAk9GfA,République centrafricaine,RS 3,Préfecture Ouham,District Nangha-Boguila
zUydPUZfIks,République centrafricaine,RS 2,Préfecture MambereKadei,District Carnot-Gadzi
ZvbqISF4tPu,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bossembele
ZVP8DKptuHV,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
zY3eCkJPbeN,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Mobaye-Zangba
zyCkedcMoJz,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
zYnjR2434Of,République centrafricaine,RS 3,Préfecture Ouham,District Batangafo-Kabo
ZzAtIgl95qC,République centrafricaine,RS 5,Préfecture Bamingui-Bangoran,District Bamingui-Bangoran
ZzI0qHelUcJ,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
